# input	kind	canonical	formatted
100 mbps	datarate	100000000	100 mbps
1 gbps in mbps	datarate	1000000000	1,000 mbps
500 mb / 20 s	datarate	200000000	200 mbps
100 mbps * 1 min	datasize	750000000	750,000,000 bytes
1 min * 100 mbps	datasize	750000000	750,000,000 bytes
1 gb / 100 mbps	duration	80	80 seconds
100 mbps + 50 mbps	datarate	150000000	150 mbps
1 tbps in gbps	datarate	1000000000000	1,000 gbps
2 mbps * 3	datarate	6000000	6 mbps
1 gbps / 4	datarate	250000000	0.25 gbps
-10 mbps	datarate	-10000000	-10 mbps
8000 bps in kbps	datarate	8000	8 kbps
one gbps	datarate	1000000000	1 gbps
1 gbps in bps	datarate	1000000000	1,000,000,000 bps
250 mbps	datarate	250000000	250 mbps
